"computation_time","series_size","series_type","visibility","Method"
1079.95114,100000.00000,"walk","hvg","dc"
19.42826,100000.00000,"random","hvg","dc"
"computation_time","series_size","series_type","visibility","Method"
 0.00021,10.00000,"walk","hvg","linear"
0.00007,10.00000,"random","hvg","linear"
0.00070,50.00000,"walk","hvg","linear"
0.00033,50.00000,"random","hvg","linear"
0.00059,100.00000,"walk","hvg","linear"
0.00051,100.00000,"random","hvg","linear"
0.00288,500.00000,"walk","hvg","linear"
0.00209,500.00000,"random","hvg","linear"
0.00420,1000.00000,"walk","hvg","linear"
0.00422,1000.00000,"random","hvg","linear"
0.02385,5000.00000,"walk","hvg","linear"
0.02249,5000.00000,"random","hvg","linear"
0.04670,10000.00000,"walk","hvg","linear"
0.04364,10000.00000,"random","hvg","linear"
0.28641,50000.00000,"walk","hvg","linear"
0.22721,50000.00000,"random","hvg","linear"
0.48121,100000.00000,"walk","hvg","linear"
0.44448,100000.00000,"random","hvg","linear"
"computation_time","series_size","series_type","visibility","Method"
 0.00015,10.00000,"walk","hvg","linear"
0.00006,10.00000,"random","hvg","linear"
0.00071,50.00000,"walk","hvg","linear"
0.00048,50.00000,"random","hvg","linear"
0.00048,100.00000,"walk","hvg","linear"
0.00041,100.00000,"random","hvg","linear"
0.00232,500.00000,"walk","hvg","linear"
0.00208,500.00000,"random","hvg","linear"
0.00625,1000.00000,"walk","hvg","linear"
0.00417,1000.00000,"random","hvg","linear"
0.02214,5000.00000,"walk","hvg","linear"
0.02199,5000.00000,"random","hvg","linear"
0.04635,10000.00000,"walk","hvg","linear"
0.04105,10000.00000,"random","hvg","linear"
0.23101,50000.00000,"walk","hvg","linear"
0.20809,50000.00000,"random","hvg","linear"
0.61864,100000.00000,"walk","hvg","linear"
0.42016,100000.00000,"random","hvg","linear"
