source,length,rep,hvg_algorithm,time_in_seconds
linear_trend_0.4,131072,4,dual_tree_hvg,1.0554457190446556
linear_trend_0.4,131072,5,dual_tree_hvg,1.2338145810645074
linear_trend_0.4,131072,6,dual_tree_hvg,1.040161496028304
linear_trend_0.4,131072,7,dual_tree_hvg,1.1722464519552886
linear_trend_0.4,131072,8,dual_tree_hvg,1.056979684974067
linear_trend_0.4,131072,9,dual_tree_hvg,0.9386393619934097
linear_trend_0.6,131072,0,dual_tree_hvg,0.9748226869851351
linear_trend_0.6,131072,1,dual_tree_hvg,0.9254806450335309
linear_trend_0.6,131072,2,dual_tree_hvg,1.2104758260538802
linear_trend_0.6,131072,3,dual_tree_hvg,1.1377969650784507
linear_trend_0.6,131072,4,dual_tree_hvg,1.0550689339870587
linear_trend_0.6,131072,5,dual_tree_hvg,1.1386079299263656
linear_trend_0.6,131072,6,dual_tree_hvg,1.3623422749806195
linear_trend_0.6,131072,7,dual_tree_hvg,1.2503316359361634
linear_trend_0.6,131072,8,dual_tree_hvg,0.8239081809297204
linear_trend_0.6,131072,9,dual_tree_hvg,1.1287915740394965
linear_trend_0.8,131072,0,dual_tree_hvg,1.110848163953051
linear_trend_0.8,131072,1,dual_tree_hvg,0.9462604519212618
linear_trend_0.8,131072,2,dual_tree_hvg,1.4444559530820698
linear_trend_0.8,131072,3,dual_tree_hvg,0.9062232989817858
linear_trend_0.8,131072,4,dual_tree_hvg,1.1949066090164706
linear_trend_0.8,131072,5,dual_tree_hvg,1.4255050930660218
linear_trend_0.8,131072,6,dual_tree_hvg,1.1914889240870252
linear_trend_0.8,131072,7,dual_tree_hvg,0.8872635959414765
linear_trend_0.8,131072,8,dual_tree_hvg,1.1057447280036286
linear_trend_0.8,131072,9,dual_tree_hvg,0.9605947289383039
linear_trend_1.0,131072,0,dual_tree_hvg,1.20508556405548
linear_trend_1.0,131072,1,dual_tree_hvg,0.8180144319776446
linear_trend_1.0,131072,2,dual_tree_hvg,1.0191454869927838
linear_trend_1.0,131072,3,dual_tree_hvg,1.3031476499745622
linear_trend_1.0,131072,4,dual_tree_hvg,0.9579040569951758
linear_trend_1.0,131072,5,dual_tree_hvg,1.0695537809515372
linear_trend_1.0,131072,6,dual_tree_hvg,0.7672135180328041
linear_trend_1.0,131072,7,dual_tree_hvg,1.1079388189828023
linear_trend_1.0,131072,8,dual_tree_hvg,0.9333047930849716
linear_trend_1.0,131072,9,dual_tree_hvg,1.239385488908738
linear_trend_1.2,131072,0,dual_tree_hvg,1.0898230969905853
linear_trend_1.2,131072,1,dual_tree_hvg,1.3533058719476685
linear_trend_1.2,131072,2,dual_tree_hvg,1.1271495949476957
linear_trend_1.2,131072,3,dual_tree_hvg,0.9731489879777655
linear_trend_1.2,131072,4,dual_tree_hvg,1.1031852859305218
linear_trend_1.2,131072,5,dual_tree_hvg,0.9921975360484794
linear_trend_1.2,131072,6,dual_tree_hvg,0.7880483960034326
linear_trend_1.2,131072,7,dual_tree_hvg,0.8274488220922649
linear_trend_1.2,131072,8,dual_tree_hvg,1.0140030740294605
linear_trend_1.2,131072,9,dual_tree_hvg,1.0288789080223069
linear_trend_1.4,131072,0,dual_tree_hvg,0.9901846529683098
linear_trend_1.4,131072,1,dual_tree_hvg,0.8331463999347761
linear_trend_1.4,131072,2,dual_tree_hvg,0.8656403979985043
linear_trend_1.4,131072,3,dual_tree_hvg,0.8749777060002089
linear_trend_1.4,131072,4,dual_tree_hvg,0.8979014409705997
linear_trend_1.4,131072,5,dual_tree_hvg,0.9035957470769063
linear_trend_1.4,131072,6,dual_tree_hvg,0.8538385870633647
linear_trend_1.4,131072,7,dual_tree_hvg,0.85164801904466
linear_trend_1.4,131072,8,dual_tree_hvg,0.9606159890536219
linear_trend_1.4,131072,9,dual_tree_hvg,0.8193865770008415
linear_trend_1.6,131072,0,dual_tree_hvg,0.8476581920403987
linear_trend_1.6,131072,1,dual_tree_hvg,0.9193262249464169
linear_trend_1.6,131072,2,dual_tree_hvg,0.9168520009843633
linear_trend_1.6,131072,3,dual_tree_hvg,0.9214856879552826
linear_trend_1.6,131072,4,dual_tree_hvg,0.9238461059285328
linear_trend_1.6,131072,5,dual_tree_hvg,0.8441184191033244
linear_trend_1.6,131072,6,dual_tree_hvg,0.9541584309190512
linear_trend_1.6,131072,7,dual_tree_hvg,1.0827143869828433
linear_trend_1.6,131072,8,dual_tree_hvg,1.085814256919548
linear_trend_1.6,131072,9,dual_tree_hvg,0.868542889948003
linear_trend_1.8,131072,0,dual_tree_hvg,0.8716103020124137
linear_trend_1.8,131072,1,dual_tree_hvg,0.7241630679927766
linear_trend_1.8,131072,2,dual_tree_hvg,0.6633374319644645
linear_trend_1.8,131072,3,dual_tree_hvg,0.8082343159476295
linear_trend_1.8,131072,4,dual_tree_hvg,0.6831711300183088
linear_trend_1.8,131072,5,dual_tree_hvg,0.8510241770418361
linear_trend_1.8,131072,6,dual_tree_hvg,0.9045870170230046
linear_trend_1.8,131072,7,dual_tree_hvg,0.7797540330793709
linear_trend_1.8,131072,8,dual_tree_hvg,0.8721783590735868
linear_trend_1.8,131072,9,dual_tree_hvg,0.8258083449909464
linear_trend_2.0,131072,0,dual_tree_hvg,0.68736680096481
linear_trend_2.0,131072,1,dual_tree_hvg,0.8412005850113928
linear_trend_2.0,131072,2,dual_tree_hvg,0.8380140160443261
linear_trend_2.0,131072,3,dual_tree_hvg,0.8322483879746869
linear_trend_2.0,131072,4,dual_tree_hvg,0.8479278170270845
linear_trend_2.0,131072,5,dual_tree_hvg,0.848179176915437
linear_trend_2.0,131072,6,dual_tree_hvg,0.7214097710093483
linear_trend_2.0,131072,7,dual_tree_hvg,0.8691668149549514
linear_trend_2.0,131072,8,dual_tree_hvg,0.8280019200174138
linear_trend_2.0,131072,9,dual_tree_hvg,1.0755955000640824
linear_trend_2.2,131072,0,dual_tree_hvg,0.7455120999366045
linear_trend_2.2,131072,1,dual_tree_hvg,0.9060015969444066
linear_trend_2.2,131072,2,dual_tree_hvg,0.9260341799817979
linear_trend_2.2,131072,3,dual_tree_hvg,0.8329723669448867
linear_trend_2.2,131072,4,dual_tree_hvg,0.9033117640065029
linear_trend_2.2,131072,5,dual_tree_hvg,0.8904381960164756
linear_trend_2.2,131072,6,dual_tree_hvg,1.0136762330075726
linear_trend_2.2,131072,7,dual_tree_hvg,0.7733741910196841
linear_trend_2.2,131072,8,dual_tree_hvg,0.8593126990599558
linear_trend_2.2,131072,9,dual_tree_hvg,0.8392885939683765
linear_trend_2.4,131072,0,dual_tree_hvg,0.8445823390502483
linear_trend_2.4,131072,1,dual_tree_hvg,0.7323773289099336
linear_trend_2.4,131072,2,dual_tree_hvg,0.932709785993211
linear_trend_2.4,131072,3,dual_tree_hvg,0.9171388050308451
linear_trend_2.4,131072,4,dual_tree_hvg,0.9535753630334511
linear_trend_2.4,131072,5,dual_tree_hvg,1.0059494079323485
linear_trend_2.4,131072,6,dual_tree_hvg,0.8230494990712032
linear_trend_2.4,131072,7,dual_tree_hvg,0.9081714079948142
linear_trend_2.4,131072,8,dual_tree_hvg,0.9834913739468902
linear_trend_2.4,131072,9,dual_tree_hvg,0.8934881270397455
linear_trend_2.6,131072,0,dual_tree_hvg,0.9039431660203263
linear_trend_2.6,131072,1,dual_tree_hvg,0.9118560210336
linear_trend_2.6,131072,2,dual_tree_hvg,0.7869149589678273
