hurst_exponent,algorithm,chunk_size,hvg_total,hvg_mean,hvg_median,hvg_std,merge_total,merge_mean,merge_median,merge_std
0.2,dual_tree_hvg,57344,1.7409195476211607,0.09162734461164004,0.091832485049963,0.019482437430795578,0.003226831089705229,0.0001792683938725127,0.00017201388254761696,4.927912750128547e-05
0.2,dual_tree_hvg,61440,1.503597712609917,0.0835332062561065,0.08544935542158782,0.020478961232152242,0.003088538069278002,0.0001816787099575295,0.000174845103174448,5.6032910131126925e-05
0.2,dual_tree_hvg,65536,2.6676900452002883,0.15692294383531108,0.15974215185269713,0.04254996738844496,0.004068115260452032,0.000254257203778252,0.00023237010464072227,8.133393032966925e-05
0.2,dual_tree_hvg,69632,1.5192541279830039,0.09495338299893774,0.09854195173829794,0.02412690791712471,0.0028088591061532497,0.00018725727374355,0.0001870347186923027,4.6093341508479625e-05
0.2,dual_tree_hvg,73728,1.573937138542533,0.1049291425695022,0.10869872197508812,0.023449764883654436,0.0027364492416381836,0.0001954606601170131,0.00019140075892210007,7.798398019453127e-05
0.2,dual_tree_hvg,77824,1.8943992080166936,0.13531422914404953,0.13827413110993803,0.02401303431470502,0.003135398495942354,0.0002411844996878734,0.00018019508570432663,0.00014980953026552294
0.2,dual_tree_hvg,81920,1.768216643948108,0.13601666491908523,0.13339789118617773,0.01716248193628829,0.0026704207994043827,0.0002225350666170319,0.00018670945428311825,0.0001137647163717301
0.2,dual_tree_hvg,86016,1.8088528728112578,0.13914252867778906,0.14338805666193366,0.035716914045266994,0.0023110797628760338,0.00019258998023966947,0.00017122924327850342,6.421129681095292e-05
0.2,dual_tree_hvg,90112,2.7031508781947196,0.2252625731828933,0.22932613804005086,0.039605793290420306,0.0028160084038972855,0.00025600076399066233,0.00023817503824830055,9.852115614339705e-05
0.2,dual_tree_hvg,94208,1.5943084433674812,0.1328590369472901,0.13884166372008622,0.03594575686227718,0.0019319853745400906,0.00017563503404909915,0.0001687551848590374,6.819910154205801e-05
0.2,dual_tree_hvg,98304,2.271410934627056,0.20649190314791419,0.19803917407989502,0.03789703071966165,0.002549572382122278,0.0002549572382122278,0.0002280545886605978,9.983714395561536e-05
0.2,dual_tree_hvg,102400,1.5720085157081485,0.14290986506437714,0.15170246176421642,0.03557466084987971,0.002019947860389948,0.0002019947860389948,0.00019192066974937916,7.089727429386565e-05
0.2,dual_tree_hvg,106496,1.5486405254341662,0.15486405254341662,0.15506798052228987,0.011215106106622795,0.0017850520089268684,0.00019833911210298538,0.00018863612785935402,8.811154978900322e-05
0.2,dual_tree_hvg,110592,1.5671707331202924,0.15671707331202925,0.16250601643696427,0.029017733587452986,0.002002527005970478,0.00022250300066338645,0.00020389584824442863,0.00010888972476885419
0.2,dual_tree_hvg,114688,1.5885521662421525,0.15885521662421526,0.16983048478141427,0.04713653488065462,0.00209230137988925,0.00023247793109880554,0.00020079594105482101,0.00015269833968769902
0.2,dual_tree_hvg,118784,2.053674346767366,0.2281860385297073,0.2273308001458645,0.017239462892862066,0.0020606014877557755,0.00025757518596947193,0.0002562419977039099,6.413820544877026e-05
0.2,dual_tree_hvg,122880,1.5199324898421764,0.16888138776024184,0.17024821182712913,0.030122498460567592,0.0017802421934902668,0.00022253027418628335,0.00019774585962295532,0.0001011343556718583
0.2,dual_tree_hvg,126976,1.8780752229504287,0.20867502477226985,0.22102728812023997,0.057399034534237926,0.0018757879734039307,0.00023447349667549133,0.0002066099550575018,0.00011472554573438944
0.2,dual_tree_hvg,131072,1.9141973778605461,0.21268859754006067,0.23586469795554876,0.075673096443029,0.001460786908864975,0.00018259836360812187,0.00015980377793312073,7.886924362180026e-05
